_,ar,az,bn,de,en,es,fa,fi,fr,hi,in,it,ms,nl,no,pl,pt,ru,si,sw,th,tr,ur,vi,zh
Macademy_Description,"لا تتوقف عن التعلّم. تعلّم في اي وقت, في اي مكان!","Heç vaxt öyrənməyi dayandırmayın ! Hər yerdə və hər zaman öyrənin","কখনো শেখা থামাবেন না! শিখুন যেকোনো সময়, যেকোনো যায়গা থেকে।","Nie aufhören zu lernen! Lernen Sie jederzeit und überall.","Learn any time, any where.","nunca dejes de aprender! Aprende en cualquier momento y lugar.","هرگز از یادگیری دست نکشید! در هر زمان و هر جایی یاد بگیرید",-,"Ne cesser jamais d'apprendre! Apprenez n'importe quand et n'importe où.","सीखने से कभी न रुकें! किसी भी समय, कहीं भी सीखें।","Belajar kapan pun, di mana pun.","Mai smettere di imparare! Impara in qualsiasi momento, in qualsiasi luogo.","Jangan sekali-kali berhenti belajar ! Belajar pada bila-bila masa , di mana-mana.","Stop nooit met leren! Leer overal waar jij wilt.",,,"Nunca pare de aprender! Aprenda a qualquer altura, em qualquer lugar!","Не прекращайте учиться! Учитесь, в любое время, в любом месте.",,,"เรียนรู้ได้ทุกที่ ทุกเวลา","Her zaman, her yerde öğrenin.","کبھی علم حاصل کرنا نہ چھوڑیں! سیکھیں، کبھی بھی کہیں بھی","Học bất cứ lúc nào, ở bất cứ đâu.",
Male,ذكر,Kişi,পুরুষ,Männlich,Male,Hombre,مرد,Mies,Homme,पुरुष,Laki-laki,Maschio,lelaki,Man,,,Homem,мужской,pirimi,,ผู้ชาย,Erkek,مرد,Nam,
Message,رسالة,Mesaj,বার্তা,Nachricht,Message,mensaje,پیغام,Viesti,Message,मैसेज,Pesan,Messaggio,mesej,Bericht,,,Mensagem,Сообщение,paniwudaya,,ข้อความ,Mesaj,پیغام,"Thông điệp",
MobileAcademy,,"Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy","Mobile Academy",,,,"Mobile Academy","Mobile Academy",,,"Mobile Academy","Öğrenme Kulübü","Mobile Academy","Học viện Di động",
MobilePhone,"رقم الجوّال","Mobil nömrə","মোবাইল নম্বর",Handynummer,"Mobile Number","Número de móvil","شماره موبایل",Matkapuhelinnumero,"Numéro de Téléphone Mobile","मोबाइल नंबर","Nomor Ponsel","Numero di cellulare","Nombor Telefon","Mobiel nummer",,,"Numero de Telemóvel","Номер телефона","jangama durakathana ankaya",,เบอร์มือถือ,"Cep Telefonu Numarası","موبائل نمبر","Số Điện thoại Di động",
Mobile_Number,"رقم الجوّال","Telefon nömrəsi (mobil)","মুঠোফোনের নম্বর",Handynummer,"Mobile Number","Número de móvil","شماره موبایل",Matkapuhelinnumero,"Numéro mobile","मोबाइल नंबर","Nomor Ponsel","Numero di cellulare","Nombor Telefon","Mobiele nummer",,,Telemóvel,"Номер мобильного","jangama durakathana ankaya",,เบอร์มือถือ,"Cep Telefonu Numarası","موبائل نمبر","Số Điện thoại Di động",
Mobile_Number_Validate,"أدخل رقم جوالك للتفعيل","Təsdiq etmək üçün mobil nömrənizi daxil edin","নিশ্চিত করতে আপনার মুঠোফোনের নম্বর দিন","Geben Sie Ihre Handynummer ein um zu bestätigen","Enter your mobile number to validate","Introduce tu número de móvil para validar","برای معتبر کردن حساب شماره موبایل خود را وارد کنید",-,"Saisissez votre numéro de téléphone mobile pour valider","वैलीडेट करने के लिए अपना मोबाइल नंबर दर्ज करें","Masukkan nomor ponsel Anda untuk memvalidasi","Inserisci il tuo numero di cellulare per confermare","Masukkan nombor telefon bimbit anda untuk pengesahan","Vul je mobiele nummer in om te verifiëren",,,"Introduza o seu número de telemóvel para validar","Для проверки, введите номер своего мобильного телефона",,,ใส่เบอร์มือถือของคุณเพื่อยืนยันความถูกต้อง,"Onaylamak için cep telefonu numaranızı girin","توثیق کے لئے اپنا موبائل نمبر درج کریں","Nhập số điện thoại di động của bạn để xác thực",
Most_Popular,"الأكثر طلبا","Ən məçhurlar","অধিক জনপ্রিয়","Am beliebtesten","Most popular","Los más populares","محبوب‌ترین ها",Suosituimmat,"les plus populaires","सर्वाधिक लोकप्रिय","Paling populer","Più Popolari","paling Popular","Meest populair",,,"Mais Populares","Самое популярное",,,ยอดนิยม,"En popüler","سب سے مشہور","Phổ biến nhất",
MyProfile_Change_Your_Nickname,"تغيير الاسم المستعار","İstifadəçi adını dəyiş","তোমার ডাকনাম পরিবর্তন করো","Ändern Sie Ihre Nickname","Change your Nickname","Cambia tu apodo","نام مستعار خود را تغییر دهید","Muuta lempinimeäsi","Changer votre Pseudonyme","अपना उपनाम बदलें","Ubah Nama Panggilan Anda","Cambia il tuo Nickname","Tukar nama panggilan anda","Verander je bijnaam",,,"Alterar o seu Apelido","Поменять имя пользователя","obagee anuwartha nama wenas karanna",,เปลี่ยนชื่อเล่นของคุณ,"Takma İsminizi Değiştirin","اپنی عُرفیت تبدیل کریں","Đổi Biệt danh của Bạn",
MyProfile_Create_Your_Nickname,"إنشاء اسم مستعار","İstifadəçi adı yarat","তোমার ডাকনাম তৈরি করো","Erstellen Sie Ihren Nickname","Create your Nickname","Crea tu apodo","نام مستعار خود را ایجاد کنید","Luo lempinimesi","Créez votre Pseudonyme","अपना उपनाम बनाएँ","Buat Nama Panggilan Anda","Crea il tuo Nickname","Mereka Nama Samaran anda","Geef jezelf een bijnaam",,,"Criar o seu Apelido","Создать имя пользователя","obagee anuwartha nama nirmaanaya karanna",,สร้างชื่อเล่นของคุณ,"Takma İsminizi Oluşturun","اپنی عُرفیت بنائیں","Tạo Biệt danh của Bạn",
MyProfile_Save_Nickname_Button_Caption,موافق,OK,"ঠিক আছে",OK,OK,OK,ثبت,OK,OK,ओके,OK,OK,OK,Oké,,,OK,ОК,niwaradiyi,,ตกลง,TAMAM,"ٹھیک ہے",OK,
MyProfile_Title,"إعدادات الملف الشخصي","Profil tənzimləmələri","প্রোফাইল সেটিংস",Profil-Einstellungen,"Profile Settings","Configuración del perfil","تنظیمات پروفایل",Profiiliasetukset,"Paramètres du profil","प्रोफ़ाइल सेटिंग्स","Pengaturan Profil","Impostazione del profilo","profil Tetapan",Profielinstellingen,,,"Opções de Perfil","Настройки Профиля","profayil sakasum",,การตั้งค่าโปรไฟล์,"Profil Ayarları","پروفائل سیٹنگ","Thiết lập Hồ sơ",
NeedtoReceive,"عليك استلام","Siz qəbul etməlisiniz","তোমাকে গ্রহন করতে হবে","Sie müssen .... erhalten","You need to receive","Necesitas recibir","باید کسب کنید","Sinun tulee vastaanottaa","Vous avez besoin de recevoir","आपको प्राप्त करने की आवश्यकता है","Anda perlu menerima","Devi ricevere","Anda perlu menerima","Je moet minstens deze score behalen:",,,"Você precisa receber","Вам нужно получить","oba labeemata awash‍ya",,คุณจะต้องได้รับ,"Almanız gereken","آپ کو حاصل کرنے کی ضرورت ہے","Bạn cần nhận",
Never_Show_Rate_Popup_Again,,,,,"Never ask me again",,,"Älä kysy enää uudelleen",,,"Jangan pernah tanyakan lagi",,,,,,,,,,อย่าถามฉันอีก,"Bir daha asla sorma",,"Không hỏi lại tôi",
Next_Flashcard,التالي,Növbəti,পরবর্তী,Weiter,Next,próximo,بعدی,-,Suivant,अगला,Berikutnya,Avanti,Seterusnya,Volgende,,,Próximo,Следующий,meelaga,,ถัดไป,Sonraki,آگے,"Tiếp theo",
No,لا,Xeyr,না,Nein,No,no,نه,-,Non,नहीं,Tidak,No,tidak,Nee,,,Não,Нет,natha,,ไม่,Hayır,نہیں,Không,
No_Internet_Message,,,,,"This course has not ben downloaded yet. Please check your internet connection.",,,"Tätä kurssia ei ole vielä ladattu. Tarkista internet-yhteytesi.",,,"Kursus ini belum diunduh. Harap periksa koneksi internet Anda.",,,,,,,,,,"ยังไม่ได้ดาวน์โหลดหลักสูตรนี้ โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ","Bu kurs henüz indirilmedi. Lütfen internet bağlantınızı kontrol edin.",,"Khóa học này vẫn chưa được tải xuống. Bạn vui lòng kiểm tra kết nối Internet của mình.",
No_Internet_Title,,,,,Error,,,Virhe,,,Kesalahan,,,,,,,,,,ข้อผิดพลาด,Hata,,Lỗi,
No_Thanks,"لا شكرا!","Yox, təşəkkürlər","না, ধন্যবাদ!","Nein Danke!","No Thanks!","No, gracias!","نه، متشکرم!","Ei kiitos!","non merci!","जी नहीं, धन्यवाद!","Tidak, terima kasih!","No Grazie!","Tidak, Terima kasih !","Nee dank je!",,,"Não obrigado!","Нет, спасибо!",,,"ไม่ ขอบคุณ!","Hayır. Teşekkürler!","جی نہیں، شکریہ!","Không cảm ơn!",
NotToDo_Default_Title,"لا تفعل",Etmə!,করোনা!,"Nicht machen!",Don't!,"¡No hacer!","انجام ندهید","Älä tee!","Ne pas Aller!","नहीं करें!",Jangan!,"Non fare!","Jangan lakukan !","Niet doen!",,,"Não fazer","Не делайте!",epa!,,ห้ามทำ!,Yapmayın!,"نہ کریں","Đừng làm!",
OTHERCOURSES,"مواد أخرى","DİGƏR KURSLAR","অন্যান্য কোর্সসমূহ","WEITERE KURSE","OTHER COURSES","OTROS CURSOS","درسهای دیگر","MUUT KURSSIT","AUTRES COURSES","अन्य पाठ्यक्रम","KURSUS LAINNYA","ALTRI CORSI","KURSUS LAIN","ANDERE CURSUSSEN",,,"OUTROS CURSOS","ДРУГИЕ КУРСЫ","anek paatamaalaawan",,"หลักสูตรอื่น ๆ","DİĞER KURSLAR","دوسرے کورسز","KHÓA HỌC KHÁC",
Oops,اووه!,Xəta!,ইশ্,Oops!,Oops!,¡Ups!,وای!,Hups!,Oops!,उफ़!,Ups!,Oops!,"Oops !",Oeps!,,,Oops!,Ой!,apoyi!,,แย่แล้ว!,Hop!,افوہ!,Oái!,
Others_Have_Also_Viewed,"اهتمامات أخرى من الأخرين","Digərləri də buna baxıb","অন্য লোকেরাও দেখেছে","Andere haben sich auch angesehen","Others have also viewed","Otros también han visto","درس‌هایی که دیگران مشاهده کرده‌اند","Muut ovat katselleet myös","les autres ont également revu","दूसरों ने भी देखा है","Juga dilihat oleh yang lain","Gli altri hanno anche visualizzato","Yang lain juga banyak menonton","Andere hebben ook dit bekeken",,,"Outros também viram","Другие также смотрят",,,"นอกจากนี้คนอื่น ๆ ยังดูรายการต่อไปนี้","Diğerleri şunları da görüntüledi","دوسروں نے بھی دیکھیں ہیں","Những người khác đã xem",
PassedTheTest,"لقد أكملت هذا الإختبار بنجاح","Siz testi uğurla keçdiniz!","তুমি সফলতার সাথে পরীক্ষাটি পাশ করেছো!","Sie haben diesen Test erfolgreich bestanden!","You passed this test successfully!","Has pasado la prueba con éxito!","این آزمون را با موفقیت گذراندید","Suoritit testin onnistuneesti!","Vous avez passé ce test avec succès!","आपने सफलतापूर्वक यह टेस्ट पास कर लिया!","Anda berhasil lulus tes ini!","Hai superato questo test con successo!","Anda telah lulus ujian ini dengan jayanya !","Je bent geslaagd voor deze test!",,,"Você passou esta prova com sucesso!","Вы успешно прошли этот тест!","oba mema pareekshanaya saarthaka lesin samathwiya!",,คุณผ่านการทดสอบนี้เรียบร้อยแล้ว!,"Bu testi başarıyla geçtiniz!","آپ نے کامیابی سے اس ٹیسٹ کو پاس کر لیا ہے!","Bạn đã xuất sắc vượt qua bài kiểm tra này!",
Prev_Flashcard,السابق,Əvvəlki,পূর্ববর্তী,Zurück,Prev,Anterior,قبلی,Edellinen,Précédent,पिछला,Sebelumnya,Precedente,Sebelum,Vorige,,,Anterior,Предыдущий,pera,,ก่อนหน้า,Önceki,پیچھے,Trước,
Preview_For_Free,"قم بمعاينة المادة مجانا","PULSUZ olaraq kursu nəzərdən keçirin","বিনামূল্যে কোর্সগুলো দেখুন","GRATIS Vorschau auf den Kurs","Preview the course for FREE","Vista previa del curso GRATIS","این درس را به صورت رایگان بررسی کنید","Esikatsele kurssia ILMAISEKSI","prévisualiser le cours gratuitement","कोर्स का नि:शुल्क पूर्वावलोकन करें","Pratinjau kursus secara GRATIS","Anteprima corso gratis","Pratonton kursus secara PERCUMA","GRATIS de cursus bekijken",,,"Veja o curso de graça","Предварительный просмотр курса, БЕСПЛАТНО",,,ดูตัวอย่างหลักสูตรได้ฟรี,"Kursu ÜCRETSİZ önizle","کورس کا بالکل مفت جائزہ لیں","Xem trước MIỄN PHÍ khóa học",
PrivacyPolicy,,,,Datenschutzbestimmungen,"Privacy Policy","Privacy Policy",,"Privacy Policy","Privacy Policy",,"Kebijakan Privasi","Politica sulla Privacy","Privacy Policy",Privacybeleid,,,"Privacy Policy",,,,นโยบายความเป็นส่วนตัว,"Gizlilik Politikası",,"Chính sách Riêng tư",
ProfileManagement,"إدارة الملف الشخصي","Profilin idarə edilməsi","প্রোফাইল ব্যবস্থাপনা",Profilmanagement,"Profile Management","Gestión de perfiles",,"Profiilin hallinta","Gestion du profil","प्रोफाइल मैनेजमेंट","Manajemen Profil","Gestione profilo","Pengurusan Profil",Profielbeheer,,,"Gestão do Perfil","Управление профилем","Pathikada kalamanaakaranaya","usimamizi profile",การจัดการโปรไฟล์,"Profil Yönetimi","kawaif ka intezaam","Quản lý Hồ sơ",
QuestionHolder,"اي من هذه الخيارات يرشد الى","Bu variantlardan hansı göstərir -","এই বিকল্পগুলির কোনটি নির্দেশ করে-","Welche dieser Optionen geben-","Which of these options indicate-","Cuál de estas opciones indica-","کدام یک از انتخاب های زیر نشان دهنده ---","Mitkä näistä vaihtoehdoista tarkoittavat-","Laquelle de ces options indiquent-","इनमें से कौन से विकल्प प्रदर्शित करते हैं-","Mana dari opsi-opsi ini yang menunjukkan-","Quale di queste opzioni indica-","Manakah antara pilihan ini menunjukkan -","Welk van de opties toont-",,,"Qual destas opções indica-","Какой из этих вариантов указывает-","min kumana wikalpa dakwenneeda -",,ตัวเลือกใดต่อไปนี้ที่ระบุ-,"Seçeneklerden hangisi bunu ifade eder-","یہ آپشنز کس کی طرف اشارہ کرتے ہیں۔","Phương án nào sau đây thể hiện-",
QuestionInText_Default_Title,سؤال,Sual,প্রশ্ন,Frage,Question,pregunta,سوأل,Kysymys,Question,प्रश्न,Pertanyaan,Domanda,soalan,Vraag,,,Pergunta,Вопрос,prashnaya,,คำถาม,Soru,سوال,"Câu hỏi",
Quiz_Failed,,,,,"{{correctAnswers}} out of {{totalQuestions}} answers were correct.",,,"{{correctAnswers}} / {{totalQuestions}} oikeaa vastausta.",,,"{{correctAnswers}} dari {{totalQuestions}} jawaban adalah benar.",,,,,,,,,,"คำตอบถูกต้อง {{correctAnswers}} ข้อ จากคำถามทั้งหมด {{totalQuestions}} ข้อ","{{toplamSoru}}'dan {{doğruCevap}} cevap doğru.",,"{{correctAnswers}} trên {{totalQuestions}} câu trả lời là đúng.",
Quiz_Passed,,,,,"Well done, you gave all the correct answers!",,,"Hienosti tehty, vastasit kaikkiin kohtiin oikein!",,,"Bagus sekali, seluruh jawaban Anda benar!",,,,,,,,,,"เก่งมาก คุณได้ให้คำตอบที่ถูกต้องทั้งหมด!","Aferin, hepsini doğru cevapladınız!",,"Tốt lắm, tất cả các câu trả lời bạn đưa ra đều đúng!",
Rate_Now,,,,,"Rate Now!",,,"Arvostele nyt!",,,"Beri Nilai Sekarang!",,,,,,,,,,ให้คะแนนตอนนี้!,"Şimdi Değerlendir!",,"Cho điểm Ngay!",
Rate_Popup_Message,,,,,"Love using Mobile Academy? Then leave a 5 star review in the App Store!",,,"Rakastatko Mobile Academya? Anna sitten 5 tähden arvostelu App Storessa!",,,"Senang menggunakan Mobile Academy? Berikan nilai 5 bintang di App Store!",,,,,,,,,,"ชอบใช้ Mobile Academy? งั้นให้คะแนนรีวิว 5 ดาวใน App Store!","Mobile Academy'i kullanmayı seviyor musunuz? O zaman Uygulama Mağazası'nda 5 yıldızlı bir yorum yapın!",,"Bạn thích dùng Học viện Di động? Hãy cho chúng tôi 5 sau trên App Store!",
Rate_Popup_Title,,,,,"Mobile Academy",,,"Mobile Academy",,,"Mobile Academy",,,,,,,,,,"Mobile Academy","Mobile Academy",,"Học viện Di động",
Read_One_Chapter_Free,"جرب قسم واحد مجانا","1-ci hissəni PULSUZ oxu","একটি বিনামূল্যের অধ্যায় দেখুন","Testen Sie 1 KOSTENLOSES Kapitel","Try 1 FREE chapter","Probar un capítulo GRATIS","یک بخش را به صورت رایگان امتحان کنید","Kokeile yhtä ILMAISTA lukua","Essayez 1 CHAPITRE GRATUIT","एक फ्री चैप्टर का अभ्यास करें","Coba 1 bab GRATIS","Prova 1 capitolo GRATIS","Cuba 1 bab PERCUMA","Probeer 1 GRATIS hoofdstuk",,,"Tente um capitulo de graça","1 глава БЕСПЛАТНО","ek nomilee parichchedayak uthsaha karanna",,"ลอง 1 บทเรียนฟรี","1 ÜCRETSİZ bölüm dene","١ سبق مفت میں دیکھے","Thử 1 chương MIỄN PHÍ",
Ready_To_Go,"أنت مستعد لتبدأ!","Davam etmək üçün hazırsınız","আপনি অগ্রসর হতে প্রস্তুত।","Sie sind bereit um loszulegen","You're ready to go.","Estás listo para continuar","برای شروع آماده اید","Olet valmis aloittamaan.","vous êtes prêt à avancer","आप आगे बढने के लिए तैयार हैं।","Anda siap untuk mulai.","Sei pronto ad andare.","Anda sudah bersedia untuk bermula.","Je bent klaar om te beginnen.",,,"Você está pronto para começar!","Вы готовы начать",,,คุณพร้อมแล้ว,"İlerlemek için hazırsınız.","آپ جانے کے لئے تیار ہیں","Bạn đã sẵn sàng.",
Remind_Me_Later,,,,,"Remind me later",,,"Muistuta minua myöhemmin",,,"Ingatkan lagi nanti",,,,,,,,,,เตือนฉันภายหลัง,"Daha sonra hatırlat",,"Nhắc tôi sau",
Restore_Purchase,"استعادة شراء","Alğı əməliyyatlnl bırpa etmək","ক্রয় ফিরিয়ে আনুন","Erwerben und wieder herstellen","Restore Purchase","restaurar la compra","بازگشت خرید","Palauta ostos","restaurez votre achat","परचेज रिस्टोर करें","Pulihkan Pembelian","Ripristina l'Acquisto","Simpan Semula Pembelian","Herstel aankoop",,,"Restaurar compra","Восстановить покупку",,,กู้คืนการสั่งซื้อ,"Satın Almayı Yenile","خریداری بحال کریں","Khôi phục khóa học đã mua",
Save,حفظ,"Yadda saxla",সংরক্ষণ,Speichern,Save,guardar,ذخیره,Tallenna,Sauvegarder,"सेव करें",Simpan,Salva,Simpan,Opslaan,,,Salvar,Сохранить,"aarakshaa karanna",,บันทึก,Kaydet,"محفوظ کریں","Lưu lại",
ScoreToPass,"نتيجة لتخطي هذا الدرس","bu bölümü keçmək üçün xal.","এই অধ্যায়ে পাস করার স্কোর।","Punktzahl für dieses Kapitel","score to pass this chapter.","puntuación para aprobar este capítulo.","امتیاز برای","pistettä tämän luvun suorittamiseen.","gagnez pour réussir ce chapitre.","इस चैप्टर को पास करने के लिए स्कोर।","skor agar lulus bab ini.","spunta per passare questo capitolo.","markah untuk lulus bab ini.","score om te slagen voor dit hoofdstuk.",,,"nota para passar este capítulo.","очков чтобы пройти эту главу.","mema parichcheedaya samath weemata lakunu ganna.",,คะแนนเพื่อผ่านบทเรียนนี้,"puanı aldınız.","اس باب کو پاس کرنے کے لئے سکور کریں","điểm để vượt qua chương này.",
SelectCourse,"اختر مادة","Kursu seçin","একটা কোর্স বাছাই করো","Wählen Sie einen Kurs","Select a Course","Selecciona un Curso","انتخاب یک درس","Valitse kurssi","Sélectionnez un cours","कोर्स का चयन करें","Pilih Kursus","Seleziona un Corso","Pilih Kursus","Kies een cursus",,,"Selecionar um Curso","Выберите курс","paatamaalaawak thoaranna",,เลือกหลักสูตร,"Kurs seçin","کورس کا انتخاب کریں","Chọn một Khóa học",
SelectTheMeaning,"اختر معنى","Mənasını seçin -","এর অর্থ নির্বাচন করো","Wählen Sie die Bedeutung von-","Select the meaning of-","Seleccionar el significado de-","انتخاب کنید معنی --- را","Valitse merkitys seuraavalle-","Sélectionnez le sens de-","- का अर्थ चुनें","Pilih arti dari-","Selezionare il significato di-","Pilih makna -","Kies de betekenis van-",,,"Escolha o significado de-","Выберите значение-","adahasa thoaranna -",,เลือกความหมายของ-,"Şunun anlamını seçin","مطلب کا انتخاب کریں ۔","Chọn ý nghĩa của-",
Select_Your_Language,"اختر لغتك","Dilinizi seçin","তোমার ভাষা নির্বাচন করো","Wählen Sie Ihre Sprache","Select your language","Selecciona el lenguaje","زبان خود را انتخاب کنید","Valitse kieli","Sélectionnez votre langue","अपनी भाषा का चयन करें","Pilih bahasa Anda","Seleziona la tua lingua","Pilih bahasa anda","Kies je taal",,,"Selecionar a sua língua","Выбрать ваш язык","obagee baashaawa thoaranna",,เลือกภาษาของคุณ,"Dil seçin","اپنی زُبان کا انتخاب کریں","Chọn ngôn ngữ của bạn",
Send,أرسل,Göndər,পাঠাও,Senden,Send,enviar,ارسال,Lähetä,Envoyez,भेजें,Kirim,Invia,Hantar,Versturen,,,Enviar,Отправить,yawanna,,ส่ง,Gönder,بھیجیں,"Gửi đi",
Send_Us_Feedback,,,,,"Send us feedback",,,"Anna meille palautetta",,,"Kirimkan umpan balik kepada kami",,,,,,,,,,ส่งผลตอบรับถึงเรา,"Bize geri bildirim gönderin",,"Gửi phản hồi cho chúng tôi",
ServiceInfo,,,,"Dienstleistung Informationen und Deaktivierung","Service info & deactivation","Servicio de información & desactivación",,"Palvelun tiedot & käytöstä poistaminen","Info service et désinscription",,"Penonaktifan info & layanan","Servizio informazioni & disattivazione",,"Service info & afmelden",,,,,,,"ข้อมูลบริการ & การปิดการทำงาน","Abonelik Detayları",,"Thông tin & ngắt Dịch vụ",
Settings,إعدادات,tənzimləmələr,সেটিংস,Einstellungen,Settings,Configuración,تنظیمات,Asetukset,Réglages,सेटिंग्स,Pengaturan,Impostazioni,Tetapan,Instellingen,,,Definições,Настройки,sakasum,,การตั้งค่า,Ayarlar,ترتیبات,"Thiết lập",
Share_Message,,,,,"Hey I'm using the Mobile Academy app giving unlimited access to high quality courses on my mobile! They have a wide variety of courses from personal development, business and language courses to hobbies, book summeries and other general interest topics. It is free to try, so you can check it out yourself at: http://app.mobileacademy.com/",,,-,,,"Hei, saya sedang menggunakan aplikasi Mobile Academy yang memberikan akses tidak terbatas ke kursus berkualitas tinggi di perangkat seluler saya! Aplikasi ini punya beragam kursus, mulai dari kursus pengembangan pribadi, bisnis, dan bahasa hingga hobi, ringkasan buku, dan topik kepentingan umum. Ini gratis untuk dicoba, kalian dapat memeriksanya sendiri di: http://app.mobileacademy.com/",,,,,,,,,,"เฮ้ ฉันกำลังใช้แอป Mobile Academy ที่ให้สิทธิ์การเข้าถึงหลักสูตรคุณภาพสูงไม่จำกัดผ่านทางมือถือของฉัน! พวกเขามีหลักสูตรให้บริการมากมายหลากหลายตั้งแต่หลักสูตรการพัฒนาตนเอง หลักสูตรธุรกิจและหลักสูตรภาษาไปจนถึงงานอดิเรก บทสรุปของหนังสือโดยย่อ และหัวข้อที่น่าสนใจอื่น ๆ  สามารถลองใช้บริการได้ฟรี คุณจึงสามารถลองดูได้ด้วยตัวคุณเองที่: http://app.mobileacademy.com/","Hey cep telefonumdan yüksek kaliteli kurslara sınırsız erişim sağlayan Mobile Academy uygulamasını kullanıyorum! Kişisel gelişim, işletme ve dil kurslarından hobilere, kitap özetlerine ve diğer genel ilgi konularına kadar geniş bir yelpazede kurslar mevcut. Denemek ücretsiz, bu yüzden kendiniz şu adresten bakabilirsiniz: http://app.mobileacademy.com/",,"Này, tôi đang sử dụng ứng dụng Học viện Di động với quyền truy cập không giới hạn đến các khóa học chất lượng cao trên điện thoại di động của tôi! Họ có một loạt các khóa học từ phát triển bản thân, kinh doanh và ngôn ngữ đến sở thích, tóm lược sách và các chủ đề quan tâm khác. Bạn có thể học thử miễn phí, hãy xem thế nào: http://app.mobileacademy.com/",
Share_Twitter_Message,,,,,"Hey! I am using the Mobile Academy app giving unlimited access to high quality courses on my mobile!",,,"Hei! Käytän Mobile Academy -sovellusta, jolla saan älypuhelimelleni rajattoman käyttöoikeuden laadukkaiden kurssien valikoimaan!",,,"Hei! Saya sedang menggunakan aplikasi Mobile Academy yang memberikan akses tidak terbatas ke kursus berkualitas tinggi di perangkat seluler saya!",,,,,,,,,,"เฮ้! ฉันกำลังใช้แอป Mobile Academy ที่ให้สิทธิ์การเข้าถึงหลักสูตรคุณภาพสูงไม่จำกัดผ่านทางมือถือของฉัน!","Hey! cep telefonumdan yüksek kaliteli kurslara sınırsız erişim sağlayan Mobile Academy uygulamasını kullanıyorum!",,"Này! Tôi đang sử dụng ứng dụng Học viện Di động với quyền truy cập không giới hạn đến các khóa học chất lượng cao trên điện thoại di động của tôi!",
Sign_Up,سجّل,"Qeydiyyatdan keç","নিবন্ধন করুন",Registrieren,"Sign Up",Registrarse,"ثبت نام کنید",Rekisteröidy,Inscrivez-vous,"साइन अप करें","Sign Up",Registrati,Daftar,"Schrijf je in",,,Registe-se,Зарегистрироваться,"sign up",,สมัครใช้บริการ,"Kayıt Ol","سائن اپ","Đăng ký",
Sign_Up_Full,"سجّل الأن!","Elə indi qeydiyyatdan keç","এখনই নিবন্ধন!","Jetzt registrieren","Sign up now!","¡Inscríbete ahora!","هم‌اکنون ثبت نام کنید!","Rekisteröidy nyt!","Inscrivez-vous maintenant","अभी साइन अप करें!","Sign up sekarang!","Iscriviti ora!","Daftar sekarang !","Nu aanmelden!",,,"Registar agora!",Зарегистрироваться!,,,สมัครตอนนี้!,"Hemen kayıt ol!","ابھی سائن اپ ہوں!","Đăng ký ngay!",
Sign_Up_Short,سجّل,"Qeydiyyatdan keç",নিবন্ধন,Registrieren,"Sign up",contratar,"ثبت نام",Rekisteröidy,inscription,"साइन अप करें","Sign up",Iscriviti,Daftar,Aanmelden,,,Registar,Регистрация,,,สมัครใช้บริการ,"Kayıt ol","سائن اپ","Đăng ký",
Sign_Up_With_Details,"التوقيع مع التفاصيل الخاصة بك","Məlumatları daxil etməklə qeydiyyatdan keç","আপনার তথ্য দিয়ে নিবন্ধন করুন","Mit Ihren Details registrieren","Sign up with your details","Regístrarse con tus datos","با اطلاعات خود ثبت نام کنید","Rekisteröidy tiedoillasi","Inscrivez-vous avec vos coordonnées","अपने विवरण के साथ साइन अप करें","Sign up dengan detail Anda","Iscriviti con i tuoi dati","Mendaftar dengan butir-butir diri anda","Voer je persoonlijke gegevens in",,,"Registe-se com os seus detalhes","Зарегистрируйтесь с вашими данными","obage wisthara samagin sign up wanna",,สมัครด้วยรายละเอียดของคุณ,"Bilgileriniz ile kayıt olun","اپنی تفصیلات کے ساتھ سائن اپ کریں","Đăng ký với thông tin của bạn",
Signin_Facebook_Button_Caption,"التسجيل في فيس بوك","Facebook vasitəsilə daxil ol","ফেসবুকের সাথে যুক্ত হোন","Anmeldung mit Facebook","Sign in with Facebook","Conectate con Facebook","ورود با فیسبوک","Kirjaudu sisään Facebook-tunnuksillasi","Connectez-vous avec Facebook","फेसबुक से साइन इन करें","Sign in dengan Facebook","Collegati a Facebook","Daftar masuk dengan Facebook","Log in met Facebook",,,"Entrar com o Facebook","Войти в Facebook","Facebook samagin athulu wanna",,"เข้าระบบด้วย Facebook","Facebook ile giriş yapın","فیس بک کی مدد سے داخل ہوں","Đăng nhập với Facebook",
Skip_Page,"تجاوز هذه المرة","Hələlik ötür","এড়িয়ে যান","Nicht jetzt","Skip for now","Saltar por ahora","فعلاً از این مورد بگذر","Ohita nyt","Passer pour l'instant","अभी के लिए छोड़ दें","Lewati untuk saat ini","Salta per ora","Langkau buat masa ini","Sla nu over",,,"Avançar por agora",Пропустить,"danata maga harinna",,ข้ามไปก่อนตอนนี้,"Şimdilik atla","بعد میں دیکھئے","Tạm thời bỏ qua",
